File	Word	Vowel Type	Vowel	Vowel Duration (msec)	POA	MOA	Consonant Duration (msec)	Burst Duration	f0	f1_onset	f1_mid	f2_onset	f2_mid
Bd_25	aeto	1	ae	79.74	D	VLS_N	71.13	17.24	120.32	603.48	659.41	1857.26	1674.46
	aeto	2	o	84.60	D	VLS_N	71.13	17.24	163.07	459.41	441.92	1155.55	991.14
Bd_27	shutorang	1	u	35.81	D	VLS_N	47.98	22.48	151.94	356.61	361.47	1190.36	1132.56
	shutorang	2	o	25.22	D	VLS_N	47.98	22.48	168.83	460.22	488.99	1428.37	1454.13
Bd_27	gurutto	1	u	57.19		VLS	57.19	19.63	141.88	317.08	318.78	1089.23	1175.50
	gurutto	2	o	131.40		VLS	57.19	19.63	124.62	374.14	421.43	1055.21	968.92
Bd_30		1	 	424.75			473.59	542.05	--undefined--	--undefined--	1000.45	--undefined--	2826.15
		2		556.77			473.59	542.05	--undefined--	994.83	526.22	1620.92	1702.56
Bd_30	Okarone	1	O	48.84	V	VLS_N	68.46	14.72	123.42	585.75	587.97	923.68	906.00
	Okarone	2	e	72.67	V	VLS_N	68.46	14.72	159.05	519.17	644.18	1384.29	1450.88
Bd_30	bipod	1	i	73.07	B	VLS_N	68.25	22.44	127.26	288.64	282.91	2017.05	2177.56
	bipod	2	o	81.48	B	VLS_N	68.25	22.44	160.39	424.85	478.12	851.99	1018.79
Bd_30	apoder	1	a	86.74	BL	VLS_N	85.17	8.28	159.39	511.42	624.51	1330.32	1263.14
	apoder	2	o	58.86	BL	VLS_N	85.17	8.28	157.95	432.50	454.58	874.18	1029.27
Bd_32		1	 	1820.36			1910.34	1947.83	160.70	1000.29	312.02	2854.15	1979.93
		2		1955.58			1910.34	1947.83	177.50	1000.29	519.77	2854.30	2023.13
Bd_32	dabar	1	a	89.97	BL	VS_N	37.49	7.75	113.82	524.94	690.09	1240.66	1322.95
	dabar	2	a	86.92	BL	VS_N	37.49	7.75	146.63	489.33	611.72	1018.67	1270.28
Bd_32	Oporiharjo	1	O	91.53	BL	VLS_N	91.20	6.59	116.73	605.62	536.95	1048.12	852.44
	Oporiharjo	2	o	32.17	BL	VLS_N	91.20	6.59	138.78	424.90	438.71	920.23	1101.07
Bd_33		1	 	3048.97			3126.41	3180.86	150.22	999.92	711.58	2827.37	1444.13
		2		3185.79			3126.41	3180.86	268.85	999.91	807.15	2825.98	1386.42
Bd_33	tader	1	a	77.44	D	VS_N	54.45	4.92	122.15	639.91	675.60	1339.78	1340.67
	tader	2	e	76.01	D	VS_N	54.45	4.92	151.30	450.84	475.21	1657.94	1724.52
Bd_34	chaka	1	a	80.69	V	VLS_N	90.18	7.81	124.40	533.36	677.05	1694.12	1446.36
	chaka	2	a	89.21	V	VLS_N	90.18	7.81	146.87	559.04	646.63	1405.63	1302.72
Bd_35		1	  	2260.51			2327.92	2403.20	194.36	1000.48	332.84	2856.05	2114.80
		2		2420.42			2327.92	2403.20	--undefined--	1000.48	471.28	2855.88	1159.40
Bd_35	moto	1	o	67.41	D	VLS_N	75.28	17.22	128.27	564.10	620.48	1116.57	936.08
	moto	2	o	47.32	D	VLS_N	75.28	17.22	144.70	411.89	405.68	1165.74	1135.86
Bd_35	hote	1	o	56.95	D	VLS_N	76.56	6.99	144.57	420.63	427.13	1146.82	1174.48
	hote	2	e	64.69	D	VLS_N	76.56	6.99	166.50	451.96	462.52	1762.24	1765.20
