File	Word	V1	V2	POA	MOA	V1 Dur	V2 Dur	Consonant Duration	Burst Duration	Burst RMS	F0_V1	F1_onset_V1	F1_mid_V1	F2_onset_V1	F2_mid_V1	F0_V2	F1_onset_V2	F1_mid_V2	F2_onset_V2	F2_mid_V2
manika_571	shOmriddhi	i	i	D	VAS	46.40	80.34	108.37	19.96	0.01	284.98	565.33	547.94	2128.44	2284.05	310.05	315.66	322.41	2361.54	2494.41
manika_58	shotti	o	i	D	VLS	54.83	98.46	166.16	10.94	0.01	242.47	450.65	496.84	1249.17	1241.67	293.75	366.82	361.97	2519.61	2660.25
manika_607	shotti	o	i	D	VLS	52.49	57.33	146.33	13.66	0.02	210.49	484.27	474.21	1155.82	1222.83	295.80	398.92	370.45	2487.57	2623.68
manika_72	mOhajuddher	u	e	D	VAS	56.54	74.37	119.14	21.68	0.03	230.63	358.56	400.47	2081.00	1707.44	278.55	329.49	367.36	2436.58	2462.55
moy_03	dhappa	a	a	BL	VLS	55.95	111.71	192.75	14.11	0.07	126.81	931.67	640.92	1208.60	1212.34	92.60	600.41	664.24	1192.91	1204.78
moy_130	briddhi	i	i	D	VAS	62.77	68.88	108.23	78.81	0.01	188.50	345.41	354.96	1943.01	1984.34	194.46	246.50	264.00	2404.36	1825.93
moy_141	mrittur	i	u	D	VLS	34.12	55.20	182.22	34.91	0.05	167.24	326.95	318.36	2025.25	1759.73	193.98	312.26	344.69	1409.72	1100.36
moy_202	biruddhe	u	e	D	VAS	59.73	146.08	148.44	24.76	0.02	174.18	335.79	349.36	1635.30	1452.06	170.16	343.55	417.05	1999.14	2212.00
moy_207	prottabortoner	o	a	D	VLS	39.66	88.70	181.80	17.63	0.04	147.83	415.77	418.79	1216.55	1175.67	168.58	577.06	637.20	1371.27	1306.37
moy_225	shiddhanto	i	a	D	VAS	50.73	73.83	146.42	35.41	0.02	145.75	313.06	304.92	2011.50	1991.53	157.66	484.75	508.34	1550.87	1438.53
moy_237	daitto	i	o	D	VLS	128.73	64.64	176.88	29.45	0.03	133.20	556.21	586.48	922.22	1589.14	201.10	374.24	390.05	1537.35	1410.55
moy_24	ottonto	o	o	D	VLS	98.98	74.94	269.59	31.54	0.05	149.85	353.80	368.05	724.18	767.10	215.84	419.59	435.90	908.33	890.31
moy_24	shukkho	u	o	V	VLAS	59.41	67.40	196.39	95.47	0.02	227.12	281.65	317.54	966.48	796.44	239.47	426.54	473.93	921.07	844.83
moy_243	prottekTi	o	e	D	VLS	31.07	37.43	194.70	15.94	0.02	162.30	389.25	417.06	1150.36	1130.55	180.98	364.68	360.50	1378.55	1518.33
moy_27	churanobboi	o	o	BL	VS	67.25	64.45	161.84	13.86	0.06	222.97	455.18	459.19	1333.39	1116.32	239.21	394.63	454.42	807.15	1129.54
moy_39	prottek	o	e	D	VLS	34.65	76.60	239.74	17.52	0.07	217.12	389.48	433.25	457.53	1083.99	245.14	435.37	461.44	1996.52	2181.08
moy_52	moddhe	o	e	D	VAS	33.27	45.12	141.02	52.43	0.01	159.90	515.93	458.34	1143.13	1084.37	203.94	370.74	380.86	2132.34	2002.00
moy_52	ittadi	i	a	D	VLS	65.62	94.61	158.77	12.94	0.04	174.21	299.40	336.41	2125.90	2436.26	154.63	510.11	571.05	1794.87	1727.58
moy_61	shimabOddho	O	o	D	VAS	77.20	40.42	131.71	37.55	0.02	179.31	512.28	536.92	873.27	1089.89	197.53	376.21	381.17	1198.89	1206.83
msm_1	barite	i	e	D	VLS_N	78.43	58.99	56.32	18.20	0.007	252.38	415.85	300.90	2380.17	1834.53	356.08	432.10	537.23	2125.09	2160.91
msm_10	miliTari	i	a	D	VLS_N	68.42	87.93	46.86	13.29	0.010	361.10	358.55	367.54	2413.24	2533.23	384.33	395.58	722.96	2117.98	1948.73
msm_103	shiddhanto	i	a	D	VAS	65.39	106.63	98.82	31.91	0.02	283.23	313.54	307.52	2272.38	2560.75	272.35	1192.28	737.68	2086.63	1665.85
